Date,Station,tmax_c,tmin_c,prcp_mm,wind_max2m_ms,srad_MJm2,ETo_mm,wind_mean2m_ms
2010-01-01,Radium,-1.5,-12.4,0,8.9,5.4,0.36,NA
2010-01-02,Radium,-6.6,-13.2,0,6.8,4.8,0.36,NA
2010-01-03,Radium,-6.1,-8.9,0,6.1,3.5,0.25,NA
2010-01-04,Radium,-3.3,-9.1,0,3.7,4,0.3,NA
2010-01-05,Radium,-3.9,-6.3,0,7.8,2.3,0.15,NA
2010-01-06,Radium,-0.7,-12,0,16.3,3.5,0.33,NA
2010-01-07,Radium,-11.4,-17.6,0,13.9,12.4,0.53,NA
2010-01-08,Radium,-8.2,-19.2,0,8.6,12.6,0.64,NA
2010-01-09,Radium,-3.6,-20.9,0,3.9,12.8,0.76,NA
2010-01-10,Radium,10.8,-13.1,0,10.2,12.2,1.32,NA
2010-01-11,Radium,8.2,-7.3,0,6.9,11.5,1.17,NA
2010-01-12,Radium,12.5,-10.1,0,10,11.7,1.45,NA
2010-01-13,Radium,14.9,-4.9,0,10.1,12.4,1.85,NA
2010-01-14,Radium,10,-5.3,0,7.9,11.8,1.22,NA
2010-01-15,Radium,9.6,-6.9,0,5.3,12.4,1.17,NA
2010-01-16,Radium,13.6,-6.5,0,4.8,11.4,1.24,NA
2010-01-17,Radium,14.3,-5.7,0,5,11.2,1.3,NA
2010-01-18,Radium,1.1,-3.8,0,6,5.5,0.33,NA
2010-01-19,Radium,4,-1,0,6.6,2.9,0.23,NA
2010-01-20,Radium,3.8,-4,0,10,4.2,0.33,NA
2010-01-21,Radium,3.9,-0.8,0,6.2,4.7,0.33,NA
2010-01-22,Radium,13.9,-0.1,1.02,16.5,9.1,0.91,NA
2010-01-23,Radium,13.9,-0.1,0,10,10.2,1.22,NA
2010-01-24,Radium,5.3,-5.2,0,15.5,11.4,1.24,NA
2010-01-25,Radium,5.7,-7.9,0,14.7,13.1,1.42,NA
2010-01-26,Radium,5.9,-8.6,0,6.9,12.9,1.17,NA
2010-01-27,Radium,7.3,-5.1,0,11.3,13.3,1.35,NA
2010-01-28,Radium,-3.3,-8.7,0,9.7,2.3,0.41,NA
2010-01-29,Radium,-6.1,-10.1,0,9.1,11.1,0.46,NA
2010-01-30,Radium,-0.8,-17.6,1.78,5.7,14.6,0.79,NA
2010-01-31,Radium,-3.5,-15.1,0,8.9,10.1,0.43,NA
2010-02-01,Radium,0.5,-8.6,1.27,5.8,9.1,0.51,NA
2010-02-02,Radium,4.4,-12.4,0,3.8,14.4,1.09,NA
2010-02-03,Radium,2.8,-5.6,0,9.3,8,0.48,NA
2010-02-04,Radium,1.2,-0.3,5.08,6.5,6.7,0.38,NA
