agency_cd,site_no,Date,X_00060_00003,X_00060_00003_cd,X_00065_00003,X_00065_00003_cd
USGS,07141220,1998-08-01,NA,NA,4.1,A
USGS,07141220,1998-08-02,NA,NA,4.76,A
USGS,07141220,1998-08-03,NA,NA,4.94,A
USGS,07141220,1998-08-04,NA,NA,4.67,A
USGS,07141220,1998-08-05,NA,NA,4.52,A
USGS,07141220,1998-08-06,NA,NA,4.48,A
USGS,07141220,1998-08-07,NA,NA,4.49,A
USGS,07141220,1998-08-08,NA,NA,4.53,A
USGS,07141220,1998-08-09,NA,NA,4.64,A
USGS,07141220,1998-08-10,NA,NA,4.79,A
USGS,07141220,1998-08-11,NA,NA,4.92,A
USGS,07141220,1998-08-12,NA,NA,5,A
USGS,07141220,1998-08-13,NA,NA,5.03,A
USGS,07141220,1998-08-14,NA,NA,5.02,A
USGS,07141220,1998-08-15,NA,NA,4.96,A
USGS,07141220,1998-08-16,NA,NA,4.91,A
USGS,07141220,1998-08-17,NA,NA,4.67,A
USGS,07141220,1998-08-18,NA,NA,3.3,A
USGS,07141220,1998-08-19,NA,NA,2.82,A
USGS,07141220,1998-08-20,NA,NA,2.73,A
USGS,07141220,1998-08-21,NA,NA,2.71,A
USGS,07141220,1998-08-22,NA,NA,2.7,A
USGS,07141220,1998-08-23,NA,NA,2.69,A
USGS,07141220,1998-08-24,NA,NA,2.69,A
USGS,07141220,1998-08-25,NA,NA,2.69,A
USGS,07141220,1998-08-26,NA,NA,2.69,A
USGS,07141220,1998-08-27,NA,NA,2.69,A
USGS,07141220,1998-08-28,NA,NA,2.69,A
USGS,07141220,1998-08-29,NA,NA,2.69,A
USGS,07141220,1998-08-30,NA,NA,2.69,A
USGS,07141220,1998-08-31,NA,NA,4.32,A
USGS,07141220,1998-09-01,NA,NA,5.79,A
USGS,07141220,1998-09-02,NA,NA,5.04,A
USGS,07141220,1998-09-03,NA,NA,4.75,A
USGS,07141220,1998-09-04,NA,NA,4.58,A
USGS,07141220,1998-09-05,NA,NA,4.49,A
USGS,07141220,1998-09-06,NA,NA,4.4,A
USGS,07141220,1998-09-07,NA,NA,4.33,A
USGS,07141220,1998-09-08,NA,NA,4.28,A
USGS,07141220,1998-09-09,NA,NA,4.22,A
USGS,07141220,1998-09-10,NA,NA,4.16,A
USGS,07141220,1998-09-11,NA,NA,4.09,A
USGS,07141220,1998-09-12,NA,NA,4.05,A
USGS,07141220,1998-09-13,NA,NA,4.02,A
USGS,07141220,1998-09-14,NA,NA,3.98,A
USGS,07141220,1998-09-15,NA,NA,3.94,A
USGS,07141220,1998-09-16,NA,NA,3.92,A
USGS,07141220,1998-09-17,NA,NA,3.89,A
USGS,07141220,1998-09-18,NA,NA,3.87,A
USGS,07141220,1998-09-19,NA,NA,3.84,A
USGS,07141220,1998-09-20,NA,NA,3.82,A
USGS,07141220,1998-09-21,NA,NA,3.81,A
USGS,07141220,1998-09-22,NA,NA,3.8,A
USGS,07141220,1998-09-23,NA,NA,3.79,A
USGS,07141220,1998-09-24,NA,NA,3.77,A
USGS,07141220,1998-09-25,NA,NA,3.75,A
USGS,07141220,1998-09-26,NA,NA,3.73,A
USGS,07141220,1998-09-27,NA,NA,3.72,A
USGS,07141220,1998-09-28,NA,NA,3.71,A
USGS,07141220,1998-09-29,NA,NA,3.7,A
USGS,07141220,1998-09-30,NA,NA,3.74,A
USGS,07141220,1998-10-01,47,A,3.86,A
USGS,07141220,1998-10-02,61,A,4.04,A
USGS,07141220,1998-10-03,56,A,3.98,A
USGS,07141220,1998-10-04,58,A,4.01,A
USGS,07141220,1998-10-05,63,A,4.06,A
USGS,07141220,1998-10-06,74,A,4.17,A
USGS,07141220,1998-10-07,80,A,4.21,A
USGS,07141220,1998-10-08,68,A,4.11,A
USGS,07141220,1998-10-09,60,A,4.03,A
USGS,07141220,1998-10-10,54,A,3.97,A
USGS,07141220,1998-10-11,50,A,3.92,A
USGS,07141220,1998-10-12,47,A,3.88,A
USGS,07141220,1998-10-13,45,A,3.85,A
USGS,07141220,1998-10-14,44,A,3.84,A
USGS,07141220,1998-10-15,42,A,3.82,A
USGS,07141220,1998-10-16,44,A,3.84,A
USGS,07141220,1998-10-17,44,A,3.84,A
USGS,07141220,1998-10-18,42,A,3.82,A
USGS,07141220,1998-10-19,43,A,3.84,A
USGS,07141220,1998-10-20,47,A,3.88,A
USGS,07141220,1998-10-21,48,A,3.89,A
USGS,07141220,1998-10-22,48,A,3.89,A
USGS,07141220,1998-10-23,48,A,3.9,A
USGS,07141220,1998-10-24,49,A,3.91,A
USGS,07141220,1998-10-25,50,A,3.91,A
USGS,07141220,1998-10-26,50,A,3.92,A
USGS,07141220,1998-10-27,51,A,3.93,A
USGS,07141220,1998-10-28,54,A,3.96,A
USGS,07141220,1998-10-29,55,A,3.97,A
USGS,07141220,1998-10-30,57,A,3.99,A
USGS,07141220,1998-10-31,66,A,4.08,A
USGS,07141220,1998-11-01,81,A,4.22,A
USGS,07141220,1998-11-02,91,A,4.32,A
USGS,07141220,1998-11-03,120,A,4.54,A
USGS,07141220,1998-11-04,194,A,4.98,A
USGS,07141220,1998-11-05,301,A,5.48,A
USGS,07141220,1998-11-06,343,A,5.65,A
USGS,07141220,1998-11-07,305,A,5.51,A
USGS,07141220,1998-11-08,234,A,5.22,A
USGS,07141220,1998-11-09,209,A,5.11,A
USGS,07141220,1998-11-10,198,A,5.05,A
USGS,07141220,1998-11-11,179,A,4.95,A
USGS,07141220,1998-11-12,175,A,4.93,A
USGS,07141220,1998-11-13,170,A,4.9,A
USGS,07141220,1998-11-14,165,A,4.87,A
USGS,07141220,1998-11-15,162,A,4.86,A
USGS,07141220,1998-11-16,162,A,4.86,A
USGS,07141220,1998-11-17,163,A,4.86,A
USGS,07141220,1998-11-18,165,A,4.87,A
USGS,07141220,1998-11-19,161,A,4.85,A
USGS,07141220,1998-11-20,159,A,4.84,A
USGS,07141220,1998-11-21,158,A,4.83,A
USGS,07141220,1998-11-22,158,A,4.83,A
USGS,07141220,1998-11-23,154,A,4.81,A
USGS,07141220,1998-11-24,153,A,4.8,A
USGS,07141220,1998-11-25,150,A,4.79,A
USGS,07141220,1998-11-26,148,A,4.77,A
USGS,07141220,1998-11-27,146,A,4.76,A
USGS,07141220,1998-11-28,146,A,4.76,A
USGS,07141220,1998-11-29,146,A,4.76,A
USGS,07141220,1998-11-30,143,A,4.74,A
USGS,07141220,1998-12-01,142,A,4.73,A
USGS,07141220,1998-12-02,142,A,4.74,A
USGS,07141220,1998-12-03,141,A,4.73,A
USGS,07141220,1998-12-04,141,A,4.73,A
USGS,07141220,1998-12-05,138,A,4.71,A
USGS,07141220,1998-12-06,136,A,4.7,A
USGS,07141220,1998-12-07,134,A,4.69,A
USGS,07141220,1998-12-08,131,A,4.67,A
USGS,07141220,1998-12-09,130,A,4.66,A
USGS,07141220,1998-12-10,128,A,4.65,A
USGS,07141220,1998-12-11,126,A,4.64,A
USGS,07141220,1998-12-12,125,A,4.63,A
USGS,07141220,1998-12-13,124,A,4.62,A
USGS,07141220,1998-12-14,124,A,4.62,A
USGS,07141220,1998-12-15,123,A,4.62,A
USGS,07141220,1998-12-16,122,A,4.6,A
USGS,07141220,1998-12-17,120,A,4.59,A
USGS,07141220,1998-12-18,121,A,4.6,A
USGS,07141220,1998-12-19,118,A,4.58,A
USGS,07141220,1998-12-20,115,A e,4.62,A
USGS,07141220,1998-12-21,115,A e,4.71,A
USGS,07141220,1998-12-22,110,A e,4.91,A
USGS,07141220,1998-12-23,110,A e,5.05,A
USGS,07141220,1998-12-24,105,A e,5.02,A
USGS,07141220,1998-12-25,105,A e,4.87,A
USGS,07141220,1998-12-26,100,A e,4.79,A
