gagename,first_noflow_date,last_noflow_date,total_noflow_days
Granada (CO),NA,NA,NA
Coolidge,NA,NA,NA
Syracuse,2013-07-15,2013-07-19,5
Syracuse,2013-07-21,2013-08-03,14
Kendall,NA,2013-06-18,NA
Kendall,2013-06-20,2013-08-03,45
Kendall,2013-08-05,2013-08-05,1
Kendall,2013-08-09,NA,NA
Deerfield,NA,2002-06-21,NA
Deerfield,2002-06-28,2002-07-07,10
Deerfield,2002-07-24,2002-11-08,108
Deerfield,2003-01-16,2003-01-18,3
Deerfield,2003-01-22,2003-01-24,3
Deerfield,2003-01-26,2003-01-26,1
Deerfield,2003-01-31,2003-02-12,13
Deerfield,2003-02-14,2003-02-28,15
Deerfield,2003-03-11,2003-04-26,47
Deerfield,2003-05-14,2003-05-15,2
Deerfield,2003-06-10,2004-04-04,300
Deerfield,2004-04-09,2004-04-09,1
Deerfield,2004-04-15,2004-04-23,9
Deerfield,2004-04-26,2004-04-30,5
Deerfield,2004-05-24,2004-06-15,23
Deerfield,2004-06-27,2004-06-29,3
Deerfield,2004-07-11,2004-07-14,4
Deerfield,2004-08-07,2004-10-19,74
Deerfield,2005-01-07,2005-01-08,2
Deerfield,2005-01-29,2005-02-09,12
Deerfield,2005-02-12,2005-04-12,60
Deerfield,2005-06-21,2005-07-04,14
Deerfield,2005-07-30,2005-11-21,115
Deerfield,2005-12-07,2005-12-22,16
Deerfield,2006-01-24,2006-02-24,32
Deerfield,2006-04-17,2006-12-16,244
Deerfield,2006-12-24,2006-12-27,4
Deerfield,2007-01-01,2007-01-02,2
Deerfield,2007-08-19,2007-08-25,7
Deerfield,2008-03-06,2008-04-23,49
Deerfield,2008-05-30,2008-07-13,45
Deerfield,2009-02-19,2009-03-30,40
Deerfield,2009-05-01,2009-05-01,1
Deerfield,2009-06-29,2009-07-07,9
Deerfield,2009-08-07,2009-08-13,7
Deerfield,2009-09-17,2009-10-01,15
Deerfield,2010-04-23,2010-04-23,1
Deerfield,2010-04-30,2010-06-21,53
Deerfield,2010-07-28,2010-07-30,3
Deerfield,2010-09-01,2012-01-20,507
Deerfield,2012-04-20,2013-06-03,410
Deerfield,2013-06-05,2013-07-26,52
Deerfield,2013-07-28,2013-07-30,3
Deerfield,2013-08-01,2013-08-03,3
Deerfield,2013-08-05,2013-08-11,7
Deerfield,2013-08-13,2013-08-13,1
Deerfield,2013-08-15,2013-09-10,27
Deerfield,2013-09-13,2014-06-07,268
Deerfield,2014-06-10,2014-06-21,12
Deerfield,2014-06-23,2014-06-23,1
Deerfield,2014-06-26,2014-06-27,2
Deerfield,2014-06-29,2014-07-29,31
Deerfield,2014-07-31,2014-08-21,22
Deerfield,2014-08-23,2014-08-26,4
Deerfield,2014-08-28,2014-09-04,8
Deerfield,2014-09-06,2014-10-09,34
Deerfield,2014-10-11,2015-05-04,206
Deerfield,2015-05-07,2015-05-08,2
Deerfield,2015-05-10,2015-05-16,7
Deerfield,2016-09-13,2016-09-21,9
Deerfield,2016-12-20,2016-12-23,4
Deerfield,2017-01-08,2017-01-09,2
Deerfield,2017-02-13,2019-04-16,793
Deerfield,2019-12-30,2020-01-02,4
Deerfield,2020-06-11,2021-01-13,217
Deerfield,2021-01-15,2021-01-16,2
Deerfield,2021-01-27,2021-01-30,4
Deerfield,2021-02-08,2021-02-23,16
Deerfield,2021-04-26,2021-05-16,21
Deerfield,2021-07-18,NA,NA
Garden City,1988-10-08,1988-11-09,33
Garden City,1989-02-06,1989-02-07,2
Garden City,1989-03-16,1989-05-17,63
Garden City,1989-07-08,1989-07-11,4
Garden City,1989-07-13,1989-07-14,2
Garden City,1989-07-24,1989-08-24,32
Garden City,1989-08-26,1989-09-11,17
Garden City,1989-09-13,1989-09-13,1
Garden City,1989-09-30,1989-11-27,59
Garden City,1989-12-04,1989-12-07,4
Garden City,1989-12-12,1989-12-31,20
Garden City,1990-04-22,1990-04-22,1
Garden City,1990-04-29,1990-05-02,4
Garden City,1990-05-14,1990-05-25,12
Garden City,1990-06-07,1990-07-24,48
Garden City,1990-07-29,1991-01-28,184
Garden City,1991-02-18,1993-02-04,718
Garden City,1993-02-12,1993-02-22,11
Garden City,1993-03-18,1993-03-20,3
Garden City,1993-05-14,1993-05-21,8
Garden City,1993-05-24,1993-06-17,25
Garden City,1993-06-22,1993-06-26,5
Garden City,1993-06-28,1993-07-13,16
Garden City,1993-07-15,1993-07-31,17
Garden City,1993-08-03,1993-08-10,8
Garden City,1993-08-12,1993-08-26,15
Garden City,1993-08-28,1993-09-16,20
Garden City,1993-09-18,1993-09-23,6
Garden City,1993-09-26,1993-10-15,20
Garden City,1993-10-19,1993-10-26,8
Garden City,1993-11-26,1993-11-29,4
Garden City,1994-01-19,1994-01-20,2
Garden City,1994-02-03,1994-02-03,1
Garden City,1994-03-23,1994-04-08,17
Garden City,1994-04-10,1994-04-10,1
Garden City,1994-04-12,1994-05-11,30
Garden City,1994-05-13,1994-05-27,15
Garden City,1994-05-29,1994-05-30,2
Garden City,1994-06-01,1994-06-21,21
Garden City,1994-06-23,1994-07-24,32
Garden City,1994-07-26,1994-08-01,7
Garden City,1994-08-03,1994-09-06,35
Garden City,1994-09-08,1994-12-18,102
Garden City,1995-01-03,1995-01-09,7
Garden City,1995-02-11,1995-02-13,3
Garden City,1995-02-15,1995-02-15,1
Garden City,1995-03-24,1995-04-18,26
Garden City,1995-04-23,1995-05-06,14
Garden City,1995-05-08,1995-05-14,7
Garden City,1995-05-19,1995-05-20,2
Garden City,1996-04-05,1996-05-24,50
Garden City,1996-07-13,1996-07-13,1
Garden City,1997-04-07,1997-04-10,4
Garden City,1997-05-20,1997-05-22,3
Garden City,1997-07-04,1997-07-04,1
Garden City,1997-07-06,1997-08-01,27
Garden City,1998-06-27,1998-07-01,5
Garden City,1998-07-03,1998-07-06,4
Garden City,2000-06-15,2000-06-19,5
Garden City,2000-06-27,2000-06-30,4
Garden City,2000-07-13,2000-07-18,6
Garden City,2000-08-06,2000-08-08,3
Garden City,2000-08-25,2000-09-03,10
Garden City,2000-09-07,2000-10-15,39
Garden City,2000-10-19,2000-10-22,4
Garden City,2001-05-13,2001-05-16,4
Garden City,2001-05-18,2001-05-18,1
Garden City,2001-07-01,2001-07-15,15
Garden City,2001-07-22,2001-07-28,7
Garden City,2001-08-04,2001-08-13,10
Garden City,2001-09-11,2001-10-30,50
Garden City,2002-02-02,2002-02-03,2
Garden City,2002-03-28,2003-06-04,434
Garden City,2003-06-06,2007-02-05,1341
Garden City,2007-02-07,2007-02-07,1
