Time [days],well,recharge,river
1.0,-0.0,0.004756032247071618,0.8433681219599135
2.0,0.0,0.004747514731593895,
3.0,0.0,0.004739012470022343,
4.0,-1.4165011182470814e-268,0.004730525435038824,
5.0,-4.2965507367969795e-215,0.004722053599374734,
6.0,-2.0050507207486007e-179,0.004713596935809236,
7.0,-6.169193990177815e-154,0.004705155417171331,
8.0,-8.202745146929836e-135,0.004696729016337747,
9.0,-6.221650906040431e-120,0.004688317706234214,
10.0,-5.041915602315972e-108,0.004679921459835638,
11.0,-2.8179322883828047e-98,0.004671540250163565,
12.0,-3.76633376300194e-90,0.004663174050289619,
13.0,-2.8474962740984727e-83,0.004654822833332628,
14.0,-2.2525433288443664e-77,0.004646486572460355,
15.0,-2.927211992172991e-72,0.004638165240887726,
16.0,-8.76497340905585e-68,0.004629858811878038,
17.0,-7.833160326364382e-64,0.004621567258742645,
18.0,-2.555121420770594e-60,0.004613290554840652,
19.0,-3.565830933371355e-57,0.004605028673578343,
20.0,-2.4174525886911767e-54,0.004596781588410662,
21.0,-8.823717665568633e-52,0.004588549272838541,
22.0,-1.886079628398673e-49,0.004580331700412721,
23.0,-2.530718643042538e-47,0.0045721288447282266,
24.0,-2.258583296015665e-45,0.004563940679430403,
25.0,-1.4075139859306847e-43,0.004555767178209824,
26.0,-6.382180877311199e-42,0.00454760831480501,
27.0,-2.1808359264046148e-40,0.004539464063000584,
28.0,-5.787445675654469e-39,0.004531334396629977,
29.0,-1.2241712666281988e-37,0.004523219289571612,
30.0,-2.1109461849580952e-36,0.004515118715751498,
31.0,-3.0264089893456237e-35,0.004507032649142068,
32.0,-3.6700462801772894e-34,0.004498961063763157,
33.0,-3.82198065133436e-33,0.004490903933680013,
34.0,-3.464102516258552e-32,0.004482861233004759,
35.0,-2.765234845609483e-31,0.004474832935896428,
36.0,-1.9647085803653856e-30,0.004466819016559459,
37.0,-1.2542467852947504e-29,0.0044588194492448385,
38.0,-7.255254831670191e-29,0.0044508342082500985,
39.0,-3.8317727924484944e-28,0.0044428632679183455,
40.0,-1.8603281143470583e-27,0.004434906602638511,
41.0,-8.354099763693605e-27,0.00442696418684585,
42.0,-3.489425014268309e-26,0.0044190359950204705,
43.0,-1.3625468727267226e-25,0.0044111220016896935,
44.0,-4.996805422102307e-25,0.004403222181425276,
45.0,-1.7282223153782452e-24,0.004395336508844994,
46.0,-5.658972876599282e-24,0.00438746495861142,
47.0,-1.7604742753303406e-23,0.004379607505433841,
48.0,-5.2200213905644277e-23,0.004371764124065258,
49.0,-1.479612406935117e-22,0.00436393478930544,
50.0,-4.0200986550449144e-22,0.004356119475997761,
51.0,-1.0496051334408077e-21,0.004348318159031722,
52.0,-2.6394862248334067e-21,0.00434053081334132,
53.0,-6.406856227596938e-21,0.004332757413906041,
54.0,-1.5040482360741527e-20,0.004324997935749086,
55.0,-3.421103867601211e-20,0.0043172523539395935,
56.0,-7.552625668714185e-20,0.004309520643590192,
57.0,-1.6208556873699738e-19,0.004301802779859032,
58.0,-3.3864555256966627e-19,0.004294098737948615,
59.0,-6.897591690564717e-19,0.004286408493104965,
60.0,-1.371378140507265e-18,0.004278732020619402,
61.0,-2.664676775087938e-18,0.004271069295827823,
62.0,-5.065772723260551e-18,0.004263420294108422,
63.0,-9.432265196225949e-18,0.004255784990886025,
64.0,-1.7217978500926786e-17,0.004248163361626978,
65.0,-3.084214172895393e-17,0.004240555381843536,
66.0,-5.42599125660491e-17,0.004232961027091087,
67.0,-9.3829474239003e-17,0.0042253802729684264,
68.0,-1.5960910448056163e-16,0.004217813095118095,
69.0,-2.672682728574147e-16,0.004210259469227151,
70.0,-4.4086307132404423e-16,0.00420271937102501,
71.0,-7.168117102946508e-16,0.004195192776285606,
72.0,-1.1495144968898646e-15,0.004187679660825616,
73.0,-1.8191992106016735e-15,0.004180180000504963,
74.0,-2.8427421111571364e-15,0.00417269377122681,
75.0,-4.3884223596373914e-15,0.004165220948938841,
76.0,-6.695819139881454e-15,0.00415776150962921,
77.0,-1.0102362199552044e-14,0.004150315429331142,
78.0,-1.5078403975113837e-14,0.004142882684120219,
79.0,-2.2273100994667994e-14,0.004135463250115212,
80.0,-3.2573879775791824e-14,0.004128057103476024,
81.0,-4.71828235343539e-14,0.00412066422040791,
82.0,-6.77139557784833e-14,0.004113284577156151,
83.0,-9.631611968826648e-14,0.004105918150010712,
84.0,-1.358269616348812e-13,0.004098564915302472,
85.0,-1.8996442581053417e-13,0.00409122484940494,
86.0,-2.6356315608077325e-13,0.004083897928735314,
87.0,-3.628642808690079e-13,0.004076584129750704,
88.0,-4.958682257280944e-13,0.004069283428953019,
89.0,-6.727614532910113e-13,0.004061995802883744,
90.0,-9.064293669509901e-13,0.004054721228127778,
91.0,-1.2130690266762658e-12,0.004047459681312593,
92.0,-1.6129168049261709e-12,0.004040211139105299,
93.0,-2.1311076481754177e-12,0.004032975578216913,
94.0,-2.7986841939683096e-12,0.004025752975399144,
95.0,-3.6537756121077755e-12,0.0040185433074454435,
96.0,-4.742967677582257e-12,0.004011346551191397,
97.0,-6.122887226941373e-12,0.004004162683513224,
98.0,-7.862025782835051e-12,0.00399699168132861,
99.0,-1.0042828736233729e-11,0.00398983352159793,
100.0,-1.276407803472537e-11,0.003982688181320804,
101.0,-1.6143597820140922e-11,0.003975555637539263,
102.0,-2.0321313871219827e-11,0.003968435867336972,
103.0,-2.546269901896514e-11,0.0039613288478368425,
104.0,-3.176263789566351e-11,0.003954234556204306,
105.0,-3.9449745436057855e-11,0.003947152969645151,
106.0,-4.879117445405349e-11,0.003940084065406191,
107.0,-6.009794835512364e-11,0.003933027820774815,
108.0,-7.373085559870397e-11,0.003925984213078715,
109.0,-9.010694288331409e-11,0.003918953219686827,
110.0,-1.0970664417834291e-10,0.003911934818008611,
111.0,-1.3308158266043043e-10,0.003904928985493328,
112.0,-1.6086308232126078e-10,0.0038979356996308723,
113.0,-1.937714254908565e-10,0.003890954937952107,
114.0,-2.3262589176201645e-10,0.003883986678027862,
115.0,-2.7835561280521487e-10,0.003877030897467937,
116.0,-3.320112763281627e-10,0.003870087573923875,
117.0,-3.9477771096290946e-10,0.0038631566850864107,
118.0,-4.679873821584935e-10,0.0038562382086869684,
119.0,-5.531348272251171e-10,0.0038493321224951638,
