Year,WaterUse_m3,WaterUse_z,radius_m
1990,24422.225696756104,4.098031774259273,1000
1991,17053.30251603211,2.748069971518302,1000
1992,4094.26891638516,0.3740188475057133,1000
1993,4641.110221927003,0.4741983250952685,1000
1994,7487.630064985976,0.9956711325368973,1000
1995,2798.975008519264,0.1367253846675997,1000
1996,1015.9680049451404,-0.18991546770836656,1000
1997,65.82839750361782,-0.36397783012687895,1000
1998,0,-0.37603736989762765,1000
1999,0,-0.37603736989762765,1000
2000,0,-0.37603736989762765,1000
2001,0,-0.37603736989762765,1000
2002,0,-0.37603736989762765,1000
2003,0,-0.37603736989762765,1000
2004,0,-0.37603736989762765,1000
2005,0,-0.37603736989762765,1000
2006,0,-0.37603736989762765,1000
2007,0,-0.37603736989762765,1000
2008,0,-0.37603736989762765,1000
2009,0,-0.37603736989762765,1000
2010,0,-0.37603736989762765,1000
2011,0,-0.37603736989762765,1000
2012,0,-0.37603736989762765,1000
2013,0,-0.37603736989762765,1000
2014,0,-0.37603736989762765,1000
2015,0,-0.37603736989762765,1000
2016,0,-0.37603736989762765,1000
2017,0,-0.37603736989762765,1000
2018,0,-0.37603736989762765,1000
2019,0,-0.37603736989762765,1000
1990,1612440.280633786,1.4851182194077106,2000
1991,1814511.0891568235,2.154260253868486,2000
1992,840150.4206361492,-1.0722606117525089,2000
1993,445783.91936518135,-2.3781751320754605,2000
1994,1561614.3906899972,1.3168121704100944,2000
1995,1294532.3122965735,0.43239028577249705,2000
1996,864506.1621119471,-0.9916084358096486,2000
1997,901200.8433357207,-0.8700968041819354,2000
1998,1078971.3497041606,-0.28142336259010575,2000
1999,1023482.6941155004,-0.4651698035603574,2000
2000,1585108.739761647,1.3946119112585755,2000
2001,1204923.5235426924,0.13565763225069016,2000
2002,1387187.9375777617,0.7392123055291068,2000
2003,1389423.9226928302,0.7466165993004675,2000
2004,989694.1114092137,-0.57705811211361,2000
2005,1337733.7558573198,0.5754485634483862,2000
2006,1010779.6076848473,-0.5072351031465132,2000
2007,941700.0538914456,-0.7359867645211423,2000
2008,1067732.4435502435,-0.3186401411238959,2000
2009,1179242.4101837869,0.050616588639303205,2000
2010,1358033.3106557203,0.6426689872974901,2000
2011,1535103.5811678513,1.2290236513829713,2000
2012,1402389.8854978597,0.7895523939039272,2000
2013,955412.5311654182,-0.6905789443235155,2000
2014,1018239.2568954779,-0.48253304506276984,2000
2015,938535.9735434544,-0.7464643747050537,2000
2016,734655.4149937658,-1.4215992580268302,2000
2017,1376220.9757640776,0.7028960498883245,2000
2018,1087670.1030425846,-0.2526181059145384,2000
2019,981727.8996201055,-0.6034376134501506,2000
1990,3720328.9630741533,0.821629469665265,3000
1991,4232579.917604989,1.5619683198296999,3000
1992,2001532.742429266,-1.6624881418376174,3000
1993,1062949.9972226457,-3.0189898022530084,3000
1994,3524774.545095623,0.5390013326744821,3000
1995,3008256.5476565175,-0.20750452921022147,3000
1996,2856674.7108973633,-0.42658059288465205,3000
1997,2714851.7911686366,-0.6315524262999628,3000
1998,2961775.505130785,-0.2746819961794381,3000
1999,2474816.281795329,-0.9784675690366496,3000
2000,4338364.707310453,1.714855471884221,3000
2001,3211392.67560919,0.08608119486730015,3000
2002,3942631.646929291,1.1429159639081437,3000
2003,3666635.916141472,0.7440287384682408,3000
2004,2837265.784223123,-0.45463165326792343,3000
2005,3224909.3067761105,0.10561632132768886,3000
2006,2815254.2037172187,-0.4864442405513739,3000
2007,2967280.370803273,-0.26672600139556907,3000
2008,2921172.656488578,-0.3333639098221442,3000
2009,3162277.065349423,0.015096076922240985,3000
2010,3536291.219453464,0.555645989705158,3000
2011,4290925.682740103,1.6462934661081619,3000
2012,3874204.5929941125,1.0440206744363887,3000
2013,2827079.8182396716,-0.46935308282759924,3000
2014,3061734.5914342636,-0.13021453474701628,3000
2015,2956037.7804924925,-0.2829745340921575,3000
2016,2337941.623843719,-1.176287848312372,3000
2017,3771525.0109424395,0.8956213731971672,3000
2018,3123003.0673883273,-0.04166529411026049,3000
2019,3130487.543254797,-0.03084823616618988,3000
1990,7601834.744894145,1.069884790406663,4000
1991,8318574.972863553,1.6206239470836303,4000
1992,4081074.4298628774,-1.6354476174804733,4000
1993,2835593.1277963067,-2.592468439236764,4000
1994,8380979.044509453,1.6685748844669561,4000
1995,6958253.888806035,0.5753608832728572,4000
1996,5389424.202289211,-0.6301190169832012,4000
1997,4886181.021701516,-1.0168082442162112,4000
1998,6093972.749847193,-0.0887478789080169,4000
1999,5280025.254699857,-0.714180552509682,4000
2000,8184225.24562028,1.5173903729177622,4000
2001,7165995.844057341,0.7349886323189342,4000
2002,7554471.132450186,1.033490857212119,4000
2003,7270935.72590231,0.8156238468272865,4000
2004,5699880.159440466,-0.3915664070491583,4000
2005,6611148.334744647,0.30864692937180815,4000
2006,6006134.531110111,-0.15624227174867186,4000
2007,6029926.702577339,-0.13796050111819158,4000
2008,5492887.562452441,-0.55061835342383,4000
2009,6049556.009591024,-0.12287745210125818,4000
2010,6700271.221724742,0.3771284540590608,4000
2011,7513709.095676857,1.00216953760295,4000
2012,7061944.801727121,0.6550363970904814,4000
2013,5351218.126231777,-0.6594763507656513,4000
2014,5845512.86833773,-0.279663053291701,4000
2015,5739555.189185174,-0.3610803375220734,4000
2016,4019060.550459693,-1.6830987333408691,4000
2017,6788747.550058222,0.445113166721701,4000
2018,5778098.541144392,-0.3314638428352014,4000
2019,5594924.627736251,-0.4722136468212636,4000
1990,11206730.054653948,1.1377379798509393,5000
1991,12521352.709335279,1.8456720589661595,5000
1992,6345152.3227037825,-1.4802577944189614,5000
1993,4036003.845925536,-2.7237514270801033,5000
1994,11723358.446202105,1.4159462119341435,5000
1995,10099585.100957848,0.5415321861573075,5000
1996,7365501.214127268,-0.9307923259410742,5000
1997,7128381.153250852,-1.0584832426756423,5000
1998,8436604.568465648,-0.3539952016175377,5000
1999,7611879.263102134,-0.7981159137446737,5000
2000,11351729.545659626,1.215821284418791,5000
2001,10180783.316366028,0.5852580291937819,5000
2002,11131883.386246506,1.097432492123962,5000
2003,10386423.023383792,0.6959965411909251,5000
2004,8325525.841241483,-0.41381192255012517,5000
2005,9664311.127201522,0.3071339132561737,5000
2006,8843806.188664885,-0.13471409993908628,5000
2007,8812722.223776182,-0.15145304626742873,5000
2008,7851779.608491803,-0.6689277931169892,5000
2009,8740342.972347492,-0.19042981159606154,5000
2010,9884444.11048182,0.4256771623371806,5000
2011,11351135.077186735,1.2155011587238471,5000
2012,10531884.489490256,0.7743286227872147,5000
2013,7986703.541818396,-0.5962702513120983,5000
2014,8934900.729839275,-0.08565901185805268,5000
2015,8808755.936015131,-0.1535889217322452,5000
2016,6341830.458614289,-1.4820466429427315,5000
2017,10133447.675312886,0.5597674343535403,5000
2018,8673169.153500885,-0.22660341275566823,5000
2019,8408918.685140247,-0.36890425574547736,5000
1990,15322866.42274813,1.1677764352567137,6000
1991,17235889.59520661,1.9196987371239251,6000
1992,8427349.9910277,-1.542537094944361,6000
1993,5507691.773794215,-2.690121796987675,6000
1994,15452162.132187122,1.2185966913114175,6000
1995,13882791.138644066,0.6017484131841755,6000
1996,9847558.811757896,-0.984317675028399,6000
1997,9657141.28760554,-1.0591621333380652,6000
1998,11172987.811126964,-0.4633518872034873,6000
1999,10532076.199083138,-0.7152650587528392,6000
2000,15274518.107002622,1.1487729138199894,6000
2001,13863160.593799097,0.5940325398590414,6000
2002,15205622.986284731,1.1216933789228551,6000
2003,14459749.683663627,0.8285245461128431,6000
2004,10829833.308524162,-0.5982302970460619,6000
2005,12910539.128960222,0.219600418511955,6000
2006,11597683.777481027,-0.29642324085349264,6000
2007,11843678.594648253,-0.19973387930536482,6000
2008,10601172.008402474,-0.6881066423045927,6000
2009,11898834.990012333,-0.17805441176835735,6000
2010,13636291.586308304,0.5048606632238098,6000
2011,15619314.193438742,1.2842965555198813,6000
2012,14280170.807052944,0.7579402666269324,6000
2013,11091798.824564844,-0.4952635809774843,6000
2014,12527958.058120063,0.06922521993698907,6000
2015,12248630.092147175,-0.040565884621509396,6000
2016,8903036.030314097,-1.35556657269676,6000
2017,13620425.088602075,0.4986242654375214,6000
